Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
4/15/1975 15:00,196.63,0.719,1903,32.8,0.165,0.06,5.5,-9,63,-9,-9,-9,,4
4/16/1975 15:00,197.63,1,1853,32.9,0.16,0.05,5.3,-9,62,-9,-9,-9,,4
4/17/1975 15:00,198.63,1,1460,35.4,0.155,0.045,5,-9,62,-9,-9,-9,,4
4/18/1975 15:00,199.63,1,1803,67.6,0.2,0.025,4.9,-9,61,-9,-9,-9,,4
4/19/1975 15:00,200.63,1,2966,112,0.27,0.09,6.6,-9,64,-9,-9,-9,,4
4/20/1975 15:00,201.63,1,4216,70.2,0.205,0.035,5,-9,66,-9,-9,-9,,4
4/21/1975 15:00,202.63,0.688,5805,63.5,0.205,0.025,4.9,-9,66,-9,-9,-9,,4
4/22/1975 0:00,203,0.438,5584,77.9,0.24,0.07,6.4,-9,85,-9,-9,-9,,4
4/22/1975 12:00,203.5,0.375,5621,63.5,0.19,0.07,6.1,-9,69,-9,-9,-9,,4
4/22/1975 18:00,203.75,0.25,5805,79.1,0.22,0.07,6.4,-9,66,-9,-9,-9,,4
4/23/1975 0:00,204,0.25,6141,78.9,0.24,0.08,5.9,-9,95,-9,-9,-9,,4
4/23/1975 6:00,204.25,0.25,5584,72.9,0.22,0.07,6.4,-9,68,-9,-9,-9,,4
4/23/1975 12:00,204.5,0.25,5694,81.5,0.23,0.08,6.3,-9,69,-9,-9,-9,,4
4/23/1975 18:00,204.75,0.25,5990,75.8,0.23,0.075,6.2,-9,94,-9,-9,-9,,4
4/24/1975 0:00,205,0.25,8023,112,0.26,0.08,5.9,-9,77,-9,-9,-9,,4
4/24/1975 6:00,205.25,0.25,6216,74.9,0.24,0.08,5.6,-9,96,-9,-9,-9,,4
4/24/1975 12:00,205.5,0.25,6291,92.5,0.49,0.12,4.4,-9,92,-9,-9,-9,,4
4/24/1975 18:00,205.75,0.25,6756,86.6,0.25,0.08,5.6,-9,87,-9,-9,-9,,4
4/25/1975 0:00,206,0.25,14492,210,0.39,0.08,7.2,-9,68,-9,-9,-9,,4
4/25/1975 6:00,206.25,0.25,10184,124,0.26,0.075,6.1,-9,77,-9,-9,-9,,4
4/25/1975 12:00,206.5,0.25,12526,194,0.36,0.075,7.1,-9,69,-9,-9,-9,,4
4/25/1975 18:00,206.75,0.25,14040,188,0.36,0.07,7.2,-9,-9,-9,-9,-9,,4
4/26/1975 0:00,207,0.25,12336,262,0.45,0.075,7.4,-9,65,-9,-9,-9,,4
4/26/1975 6:00,207.25,0.25,14594,237,0.41,0.09,7,-9,73,-9,-9,-9,,4
4/26/1975 12:00,207.5,0.25,14190,296,0.5,0.095,7.2,-9,70,-9,-9,-9,,4
4/26/1975 18:00,207.75,0.25,13547,278,0.49,0.08,7.4,-9,70,-9,-9,-9,,4
4/27/1975 0:00,208,0.25,8538,171,0.35,0.08,8.1,-9,49,-9,-9,-9,,4
4/27/1975 6:00,208.25,0.25,11398,252,0.43,0.07,7.4,-9,66,-9,-9,-9,,4
4/27/1975 12:00,208.5,0.25,10228,218,0.42,0.1,7.4,-9,63,-9,-9,-9,,4
4/27/1975 18:00,208.75,0.25,9336,192,0.37,0.09,7.4,-9,63,-9,-9,-9,,4
4/28/1975 0:00,209,0.25,8408,123,0.29,0.09,8.7,-9,73,-9,-9,-9,,4
4/28/1975 6:00,209.25,0.25,7563,152,0.34,0.08,8.2,-9,73,-9,-9,-9,,4
4/28/1975 12:00,209.5,0.25,6995,144,0.32,0.08,8.4,-9,43,-9,-9,-9,,4
4/28/1975 18:00,209.75,0.375,6955,124,0.29,0.09,8.6,-9,70,-9,-9,-9,,4
